State of Oregon Department of Environmental Quality,,,,,,,,,,
"Underground Storage Tank Facility List as of July 1, 2024",,,,,,,,,,
"Sorted by Zip Code, then by Facility Name",,,,,,,,,,
ID,FACILITY NAME,ADDRESS,CITY,ZIP,PHONE ,PERMITTEE,"#
ALL
Tank","#
ACTIVETANK","#
DECOMM
Tank","#
PERMITTank"
10581,UNION PACIFIC RR,BLISS SECTION,BLISS,83314,(402) 271-4638,"JOHN STEWART, ENVIRONMENTAL ENGINEER",2,,2,
9193,OR STATE HWY 5-14 - BASQUE,BASQUE STATION,MCDERMITT,89022,(503) 889-9115,"DALE HIATT, DIST. MAINT. SUPERVISOR",7,,7,
10081,HUTTS MINI MART,HWY 95 - MCDERMITT,MCDERMITT,89421,(503)5229988,LORRAINE HUTTMAN,2,,2,
10116,SIBEE'S SERVICE,HWY 95,MCDERMITT,89421,(775) 532-8099,SHIRLIE DEFOE,3,,3,
11738,ANTELOPE STORE CAFE,MAIN STREET PO BOX 96,ANTELOPE,97001,(541)489-3413,DONNA RAMSAY,1,,1,
6858,AT&T - ANTELOPE TD-2,LAT 44-49-11N LON 120-39-04W,ANTELOPE,97001,(503) 389-8126,"R M GRIFFETH, OPERATIONS SUPERVISOR",1,,1,
4303,RBG GARAGE,HASSID RD,ANTELOPE,97001,(503) 489-3213,"DEVA ALLEN, MAINTENANCE SUPERVISOR",17,,17,
11880,TRANS CASCADE TELEPHONE,HIGHWAY 218,ANTELOPE,97001,(541) 489-3402,,1,,1,
5281,WASCO COUNTY RD DEPT - ANTELOPE DIST,94322 SOUTH ST,ANTELOPE,97001,(503)489-3326,"ROCKEY WISEMAN, DISTRICT FOREMAN",2,,2,
12673,ANNE KLINGE TRUST,13522 ARNDT RD NE,AURORA,97002,(503) 799-5495,LORI KLINGE,2,,2,
8773,ARISTO-AIRE,14122 ARNDT RD NE,AURORA,97002,(503)682-1033,DEL HEWITT,1,,1,
8249,AURORA FOREST NURSERY,6051 S LONE ELDER RD,AURORA,97002,(503)266-2018,"MARK E TRIEBWASSER, FACILITY MANAGER",1,,1,
3272,AURORA JET CENTER,14357 KEIL RD NE,AURORA,97002,(503) 678-1336,Josh Lewis,6,,6,
10483,AURORA PROPERTY,21711 MAIN ST,AURORA,97002,(503) 362-2436,DENNIS STOLL,4,,4,
6674,BROADACRES STORE,18536 BUTTEVILLE RD NE,AURORA,97002,(503) 981-8689,"RICHARD BEESON, LEASOR",3,,3,
5399,CAPITAL CITY CO,ECHER RD,AURORA,97002,(503) 362-2436,"DENNIS L STOLL, VP",4,,4,
3890,"CASALE FARMS, INC.",13116 NE DENBROOK RD,AURORA,97002,(503) 682-1760,"JOE CASALE JR., PRESIDENT",1,,1,
123,CHAFFEY & SONS INC,23512 SCHULTZ RD. NE,AURORA,97002,(503)678-5269,"LOWELL CHAFFEY, PRESIDENT",2,,2,
3186,"CLACKAMAS GREENHOUSES, INC.",23646 KLUPENGER RD NE,AURORA,97002,(503)656-1487,"EDMUND R. NIKLAS, PRESIDENT",1,,1,
3450,"COLUMBIA HELICOPTERS, INC.",14452 ARNDT RD NE,AURORA,97002,503-678-1222 ext 326,David Trip,8,,8,
5436,DONALD FEED,20824 MATTHIEU ST NE,DONALD,97002,(503) 678-5685,"DALE LASSELLE, OWNER",1,,1,
5630,ELIXIR INDUSTRIES,15972 NE GRIMM RD,AURORA,97002,(503)981-0181,"JILANIE SHAW, OFFICE MANAGER",2,,2,
1491,FEMRITE NURSERY CO.,13193 ARNDT RD NE,AURORA,97002,(503)678-1261,"DOUG FEMRITE, OWNER",1,,1,
879,"FORMER KLUPENGERS NURSERY & GREENHOUSE,",24075 KLUPENGER RD NE,AURORA,97002,(971) 201-0060,Eugene Hill,2,,2,
11594,"FORS FARMS, INC.",14791 1ST STREET NE,AURORA,97002,(503)287-0511,CRAIG LAVIELLE,1,,1,
4072,FUEL N MART,21690 DOLORES WAY NE,AURORA,97002,(503) 345-0312,Derek Malsam,5,4,1,4
8201,GENERAL AVIATION SERVICES,23123 AIRPORT RD NE,AURORA,97002,(503) 692-4370,"MARLO TREIT, OWNER",2,,2,
9902,HAENER BROTHERS FARM,11424 EHLEN RD NE,AURORA,97002,(503)678-5392,"DELBERT HAENER, OWNER/PARTNER",1,,1,
10002,HAENER FARMS,12433 ARNDT RD NE,AURORA,97002,(503)678-1540,"RICHARD HAENER, PRES",2,,2,
10793,KUNZMAN EXCAVATING INC,25868 NE GLASS RD,AURORA,97002,(503)678-1447,"RONALD KUNZMAN, PRES",2,,2,
1502,"N.W. FLORICULTURE, INC.",23085 BENTS RD NE,AURORA,97002,(503)678-1805,"PAUL KNOPP, PRESIDENT",1,,1,
9564,NORTH MARION HIGH SCHOOL,20167 GRIM RD NE,AURORA,97002,(503) 678-5835,DAVE PATTON,1,,1,
9675,NORTHWEST ORGANIC PRODUCTS,12088 DONALD RD NE,AURORA,97002,(503) 678-1201,"DAVID ROBANSKE, SR",1,,1,
7252,OR. STATE AERONAUTICS DIVISION,AIRPORT RD.,AURORA,97002,(503)245-1161,DAVE EVEY,1,,1,
5517,OREGON BULB FARMS INC,14071 NE ARNDT RD,AURORA,97002,(503) 678-1272,"ED HOBBS, PROJECTS DIRECTOR/MELRIDGE INC",3,,3,
4272,PILOT TRAVEL CENTER #584,12334 EHLEN RD NE,AURORA,97002,(865) 588-7488,Chip Hughes,15,8,7,8
1153,PORTLAND TRAVEL CENTER,21856 BENTS RD NE,AURORA,97002,(440) 808-9100,John Murray/Kelly Gleske,9,7,2,7
652,SACKS WATERWAY AVE. MARINA,24729 NE BUTTEVILLE RD,AURORA,97002,(503)678-9985,"DOUGLAS P. SACKS, OWNER",2,,2,
4274,SIERRA ENTERPRISES OREGON INC #11,21687 HWY 99 E,AURORA,97002,(503)661-1244,Rania Dahabreh,9,3,6,3
4397,"STENSON, DONALD & CLAUDETTE",10767 BUTTE ST,AURORA,97002,(503),,2,,2,
657,"THE BOATWORKS, LTD",26177 NE BOONES FERRY LNDG,AURORA,97002,(503)682-0515,LESLIE NELSON,3,,3,
