ProgramEnforcementNumber,RegulatoryProgramIdentifier,Region,Facility,Facility_ID,Address,ProgramID,Enforcement_Type,PenaltyAmount,ViolationId,DEQViolationClassCode,ViolationReference,ViolationDetailDescription,ViolationDetailTypeName,InspectionStartDate,EnforcementIssueDate,ClosedDate
2020-FC-5837,UndergroundStorageTanks,WR,US MARKET 99 LLC,6444,"1395 HIGHWAY 99 N EUGENE, OR 97402-2015",20-6444-2024-OPER,Field Citation,750,12268,II,340-150-0310(1),"Failure to repair or replace spill prevention device that is not properly maintained, is defective, is damaged or may have been tampered with in a manner that prevents proper operation.",(C1c) Spill and Overfill Prevention - TCR,10/7/20,10/27/20,2/26/21
2020-FC-5837,UndergroundStorageTanks,WR,US MARKET 99 LLC,6444,"1395 HIGHWAY 99 N EUGENE, OR 97402-2015",20-6444-2024-OPER,Field Citation,750,12269,I,340-150-0310(8)(b),Failure to test spill prevention equipment at least once every 3 years,(C1e) Spill and Overfill Prevention,10/7/20,10/27/20,2/26/21
2020-FC-5837,UndergroundStorageTanks,WR,US MARKET 99 LLC,6444,"1395 HIGHWAY 99 N EUGENE, OR 97402-2015",20-6444-2024-OPER,Field Citation,750,12270,I,340-150-0310(11)(a),Failure to maintain records of spill or overfill equipment inspections/test for 3 years.,(C3a) Spill and Overfill Prevention-TCR,10/7/20,10/27/20,2/26/21
2020-FC-5901,UndergroundStorageTanks,NWR,ANDERSON POOLWORKS,1589,"9500 SW BOECKMAN ROAD WILSONVILLE, OR 97070",3-1589-2024-OPER,Field Citation,225,12414,I,340-150-0450(5),Failure to maintain adequate records of ATG monitoring and testing results.,(J5.7a) ATG - TCR,10/23/20,11/24/20,12/10/20
2020-FC-5910,UndergroundStorageTanks,WR,RICE HILL CARDLOCK,11350,"720 JOHN LONG RD OAKLAND, OR 97462",10-11350-2024-OPER,Field Citation,150,12451,II,340-150-0310(1),"Failure to repair or replace spill prevention device that is not properly maintained, is defective, is damaged or may have been tampered with in a manner that prevents proper operation.",(C1c) Spill and Overfill Prevention - TCR,10/8/20,11/25/20,8/23/21
2020-FC-5914,UndergroundStorageTanks,NWR,UNITED PACIFIC #7450,2167,"15900 SW UPPER BOONES FERRY RD TIGARD, OR 97224-7221",34-2167-2024-OPER,Field Citation,225,12462,I,340-150-0450(5),Failure to maintain adequate records of ATG monitoring and testing results.,(J5.7a) ATG - TCR,10/23/20,11/30/20,12/24/20
2020-FC-5916,UndergroundStorageTanks,NWR,OREGON GOLF CLUB,10916,"25700 SW PETE'S Mountain RD WEST LINN, OR 97068",3-10916-2024-OPER,Field Citation,750,12465,I,340-150-0450(5),Failure to maintain adequate records of ATG monitoring and testing results.,(J5.7a) ATG - TCR,10/23/20,11/30/20,12/17/20
2020-FC-5916,UndergroundStorageTanks,NWR,OREGON GOLF CLUB,10916,"25700 SW PETE'S Mountain RD WEST LINN, OR 97068",3-10916-2024-OPER,Field Citation,750,12466,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,10/23/20,11/30/20,12/17/20
2020-FC-5916,UndergroundStorageTanks,NWR,OREGON GOLF CLUB,10916,"25700 SW PETE'S Mountain RD WEST LINN, OR 97068",3-10916-2024-OPER,Field Citation,750,12467,I,340-150-0310(11)(a),Failure to maintain records of spill or overfill equipment inspections/test for 3 years.,(C3a) Spill and Overfill Prevention-TCR,10/23/20,11/30/20,12/17/20
2020-FC-5920,UndergroundStorageTanks,WR,ALVEY SUBSTATION,7987,"86000 Hwy 99 S EUGENE, OR 97405",20-7987-2024-OPER,Field Citation,150,12352,II,340-150-0315(1)(a)(A),Failure to conduct monthly periodic operation and maintenance walkthrough inspection by 10/01/20 and each month thereafter.,(A15) General Permit Requirements,10/8/20,11/30/20,1/19/21
